Time_Step,Adj Close,Close,High,Low,Open,Volume,Day_of_Week,Month,MA_30,Target_Close,Price_Movement
98,14.0600004196167,14.0600004196167,14.109999656677246,13.933333396911621,13.989999771118164,61015500.0,5,4,13.033266576131185,14.0600004196167,0.0
99,14.0600004196167,14.0600004196167,14.109999656677246,13.933333396911621,13.989999771118164,61015500.0,6,4,13.082644367218018,13.985333442687988,-0.07466697692871094
100,13.985333442687988,13.985333442687988,14.199999809265137,13.936667442321777,14.029333114624023,56373000.0,0,4,13.129533259073893,13.830666542053223,-0.15466690063476562
101,13.830666542053223,13.830666542053223,13.965999603271484,13.699999809265137,13.904666900634766,45390000.0,1,4,13.171266587575277,13.85533332824707,0.024666786193847656
102,13.85533332824707,13.85533332824707,13.97266674041748,13.773332595825195,13.830666542053223,29286000.0,2,4,13.198222128550212,13.779999732971191,-0.0753335952758789
103,13.779999732971191,13.779999732971191,13.944666862487793,13.752667427062988,13.846667289733887,24886500.0,3,4,13.224822107950846,13.78600025177002,0.006000518798828125
104,13.78600025177002,13.78600025177002,13.791999816894531,13.566666603088379,13.666000366210938,37048500.0,4,4,13.238333225250244,13.78600025177002,0.0
105,13.78600025177002,13.78600025177002,13.791999816894531,13.566666603088379,13.666000366210938,37048500.0,5,4,13.263088798522949,13.78600025177002,0.0
106,13.78600025177002,13.78600025177002,13.791999816894531,13.566666603088379,13.666000366210938,37048500.0,6,4,13.282444381713868,13.684666633605957,-0.1013336181640625
107,13.684666633605957,13.684666633605957,13.856666564941406,13.59000015258789,13.785332679748535,38389500.0,0,4,13.29842217763265,13.96066665649414,0.2760000228881836
108,13.96066665649414,13.96066665649414,14.050000190734863,13.620667457580566,13.720000267028809,51487500.0,1,4,13.323599974314371,14.629332542419434,0.668665885925293
109,14.629332542419434,14.629332542419434,14.791999816894531,14.112667083740234,14.166666984558105,117945000.0,2,4,13.367622152964275,14.573332786560059,-0.055999755859375
110,14.573332786560059,14.573332786560059,14.76533317565918,14.476667404174805,14.5513334274292,66168000.0,3,4,13.405133247375488,14.562000274658203,-0.011332511901855469
111,14.562000274658203,14.562000274658203,14.720000267028809,14.534000396728516,14.699999809265137,36417000.0,4,4,13.458755493164062,14.562000274658203,0.0
112,14.562000274658203,14.562000274658203,14.720000267028809,14.534000396728516,14.699999809265137,36417000.0,5,4,13.521022160847982,14.562000274658203,0.0
113,14.562000274658203,14.562000274658203,14.720000267028809,14.534000396728516,14.699999809265137,36417000.0,6,4,13.595311069488526,15.436667442321777,0.8746671676635742
114,15.436667442321777,15.436667442321777,15.916666984558105,14.800000190734863,14.837332725524902,175089000.0,0,4,13.698755550384522,15.36533260345459,-0.0713348388671875
115,15.36533260345459,15.36533260345459,15.699999809265137,15.20199966430664,15.649999618530273,91281000.0,1,4,13.799822203318278,15.49666690826416,0.1313343048095703
116,15.49666690826416,15.49666690826416,15.664667129516602,15.175333023071289,15.33666706085205,59041500.0,2,4,13.89288886388143,15.069999694824219,-0.4266672134399414
